id,quality_grade,image_url,scientific_name,common_name,class_name
22838746,research,https://inaturalist-open-data.s3.amazonaws.com/photos/35397814/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
24730460,research,https://inaturalist-open-data.s3.amazonaws.com/photos/38245403/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
27944244,research,https://inaturalist-open-data.s3.amazonaws.com/photos/43525674/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
37566658,research,https://inaturalist-open-data.s3.amazonaws.com/photos/59578055/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
44637096,research,https://inaturalist-open-data.s3.amazonaws.com/photos/70767453/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
55253009,research,https://inaturalist-open-data.s3.amazonaws.com/photos/87970096/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
57310198,research,https://inaturalist-open-data.s3.amazonaws.com/photos/91403055/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
63782566,research,https://inaturalist-open-data.s3.amazonaws.com/photos/102425488/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
67627137,research,https://inaturalist-open-data.s3.amazonaws.com/photos/109308282/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
73738745,research,https://static.inaturalist.org/photos/120422799/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
77426226,research,https://inaturalist-open-data.s3.amazonaws.com/photos/126625581/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
80103010,research,https://inaturalist-open-data.s3.amazonaws.com/photos/131258968/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
92896052,research,https://inaturalist-open-data.s3.amazonaws.com/photos/153884653/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
93456558,research,https://inaturalist-open-data.s3.amazonaws.com/photos/154898552/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
97677397,research,https://static.inaturalist.org/photos/162483930/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
109059492,research,https://static.inaturalist.org/photos/183739218/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
117482735,research,https://inaturalist-open-data.s3.amazonaws.com/photos/198409718/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
117482737,research,https://inaturalist-open-data.s3.amazonaws.com/photos/198409737/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
117482855,research,https://inaturalist-open-data.s3.amazonaws.com/photos/198410571/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
119408886,research,https://inaturalist-open-data.s3.amazonaws.com/photos/201847490/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
122806966,research,https://inaturalist-open-data.s3.amazonaws.com/photos/207953623/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
129530931,research,https://static.inaturalist.org/photos/220139140/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
138743818,research,https://static.inaturalist.org/photos/237184508/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
142694302,research,https://inaturalist-open-data.s3.amazonaws.com/photos/244685925/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
155778597,research,https://static.inaturalist.org/photos/269309868/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
155860670,research,https://inaturalist-open-data.s3.amazonaws.com/photos/269461396/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
156740368,research,https://static.inaturalist.org/photos/271060981/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
158518880,research,https://inaturalist-open-data.s3.amazonaws.com/photos/273954336/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
158523744,research,https://inaturalist-open-data.s3.amazonaws.com/photos/273962181/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
160878150,research,https://inaturalist-open-data.s3.amazonaws.com/photos/278038276/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
165407176,research,https://inaturalist-open-data.s3.amazonaws.com/photos/286316308/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
166304169,research,https://inaturalist-open-data.s3.amazonaws.com/photos/287974097/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
166599229,research,https://inaturalist-open-data.s3.amazonaws.com/photos/288509670/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
168697785,research,https://static.inaturalist.org/photos/292394522/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
169407464,research,https://inaturalist-open-data.s3.amazonaws.com/photos/293695986/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
170627907,research,https://inaturalist-open-data.s3.amazonaws.com/photos/295970392/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
170628407,research,https://inaturalist-open-data.s3.amazonaws.com/photos/295971480/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
170631602,research,https://inaturalist-open-data.s3.amazonaws.com/photos/295977788/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
171167867,research,https://inaturalist-open-data.s3.amazonaws.com/photos/296990875/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
172139188,research,https://inaturalist-open-data.s3.amazonaws.com/photos/298787503/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
172846020,research,https://static.inaturalist.org/photos/300106110/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
174469087,research,https://inaturalist-open-data.s3.amazonaws.com/photos/303102291/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
176321729,research,https://static.inaturalist.org/photos/306525441/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
180244678,research,https://inaturalist-open-data.s3.amazonaws.com/photos/313757713/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
188771059,research,https://inaturalist-open-data.s3.amazonaws.com/photos/330495398/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
191783223,research,https://inaturalist-open-data.s3.amazonaws.com/photos/336529643/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
196376460,research,https://inaturalist-open-data.s3.amazonaws.com/photos/345711073/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
196376466,research,https://inaturalist-open-data.s3.amazonaws.com/photos/345711434/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
196376495,research,https://inaturalist-open-data.s3.amazonaws.com/photos/345715592/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
204302724,research,https://inaturalist-open-data.s3.amazonaws.com/photos/361095170/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
204626884,research,https://inaturalist-open-data.s3.amazonaws.com/photos/361710274/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
206652226,research,https://static.inaturalist.org/photos/365444835/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
207647088,research,https://inaturalist-open-data.s3.amazonaws.com/photos/367304735/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
207722890,research,https://static.inaturalist.org/photos/367458931/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
207790975,research,https://static.inaturalist.org/photos/367582639/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
212342556,research,https://inaturalist-open-data.s3.amazonaws.com/photos/375247641/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
214670187,research,https://inaturalist-open-data.s3.amazonaws.com/photos/379460101/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
216404352,research,https://static.inaturalist.org/photos/382718247/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
216406453,research,https://static.inaturalist.org/photos/382721894/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
217465413,research,https://static.inaturalist.org/photos/384717521/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
218578331,research,https://inaturalist-open-data.s3.amazonaws.com/photos/386800453/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
220742335,research,https://inaturalist-open-data.s3.amazonaws.com/photos/390849047/medium.jpeg,Carduelis carduelis,Черноголовый щегол,goldfinch
221585836,research,https://static.inaturalist.org/photos/392415001/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
225317059,research,https://static.inaturalist.org/photos/399460894/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
226215147,research,https://static.inaturalist.org/photos/401158745/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
229317402,research,https://inaturalist-open-data.s3.amazonaws.com/photos/407030204/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
233711759,research,https://static.inaturalist.org/photos/415380882/medium.jpg,Carduelis carduelis,Черноголовый щегол,goldfinch
