id,quality_grade,image_url,scientific_name,common_name
18938408,research,https://inaturalist-open-data.s3.amazonaws.com/photos/29032317/medium.jpg,Sitta europaea,Обыкновенный поползень
19031160,research,https://inaturalist-open-data.s3.amazonaws.com/photos/29187980/medium.jpg,Sitta europaea,Обыкновенный поползень
20010707,research,https://inaturalist-open-data.s3.amazonaws.com/photos/30885573/medium.jpeg,Sitta europaea,Обыкновенный поползень
37136916,research,https://inaturalist-open-data.s3.amazonaws.com/photos/58822707/medium.jpeg,Sitta europaea,Обыкновенный поползень
37436022,research,https://inaturalist-open-data.s3.amazonaws.com/photos/59346869/medium.jpeg,Sitta europaea,Обыкновенный поползень
37521356,research,https://inaturalist-open-data.s3.amazonaws.com/photos/59496439/medium.jpg,Sitta europaea,Обыкновенный поползень
41424044,research,https://inaturalist-open-data.s3.amazonaws.com/photos/65714232/medium.jpg,Sitta europaea,Обыкновенный поползень
47158527,research,https://inaturalist-open-data.s3.amazonaws.com/photos/74788141/medium.jpeg,Sitta europaea,Обыкновенный поползень
52610014,research,https://static.inaturalist.org/photos/83642117/medium.jpeg,Sitta europaea,Обыкновенный поползень
65415303,research,https://static.inaturalist.org/photos/105281771/medium.jpeg,Sitta europaea,Обыкновенный поползень
66475153,research,https://static.inaturalist.org/photos/107170746/medium.jpeg,Sitta europaea,Обыкновенный поползень
67627512,research,https://inaturalist-open-data.s3.amazonaws.com/photos/109309087/medium.jpeg,Sitta europaea,Обыкновенный поползень
67628017,research,https://inaturalist-open-data.s3.amazonaws.com/photos/109310265/medium.jpeg,Sitta europaea,Обыкновенный поползень
69001657,research,https://inaturalist-open-data.s3.amazonaws.com/photos/111866800/medium.jpg,Sitta europaea,Обыкновенный поползень
71225453,research,https://inaturalist-open-data.s3.amazonaws.com/photos/115927421/medium.jpeg,Sitta europaea,Обыкновенный поползень
71226252,research,https://inaturalist-open-data.s3.amazonaws.com/photos/115928549/medium.jpeg,Sitta europaea,Обыкновенный поползень
71226624,research,https://inaturalist-open-data.s3.amazonaws.com/photos/115929158/medium.jpeg,Sitta europaea,Обыкновенный поползень
