id,quality_grade,image_url,scientific_name,common_name
20010706,research,https://inaturalist-open-data.s3.amazonaws.com/photos/30885567/medium.jpeg,Hirundo rustica,Деревенская ласточка
25616929,research,https://inaturalist-open-data.s3.amazonaws.com/photos/39697917/medium.jpeg,Hirundo rustica,Деревенская ласточка
28465200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/44374575/medium.jpg,Hirundo rustica,Деревенская ласточка
31370309,research,https://inaturalist-open-data.s3.amazonaws.com/photos/49091513/medium.jpg,Hirundo rustica,Деревенская ласточка
37496927,research,https://inaturalist-open-data.s3.amazonaws.com/photos/59452903/medium.jpeg,Hirundo rustica,Деревенская ласточка
41423471,research,https://inaturalist-open-data.s3.amazonaws.com/photos/65713211/medium.jpg,Hirundo rustica,Деревенская ласточка
41424049,research,https://inaturalist-open-data.s3.amazonaws.com/photos/65714334/medium.jpg,Hirundo rustica,Деревенская ласточка
42189810,research,https://inaturalist-open-data.s3.amazonaws.com/photos/66974057/medium.jpeg,Hirundo rustica,Деревенская ласточка
45576658,research,https://inaturalist-open-data.s3.amazonaws.com/photos/72275476/medium.jpeg,Hirundo rustica,Деревенская ласточка
46626579,research,https://inaturalist-open-data.s3.amazonaws.com/photos/73952754/medium.jpeg,Hirundo rustica,Деревенская ласточка
49101658,research,https://inaturalist-open-data.s3.amazonaws.com/photos/77940035/medium.jpg,Hirundo rustica,Деревенская ласточка
51553913,research,https://inaturalist-open-data.s3.amazonaws.com/photos/81917728/medium.jpg,Hirundo rustica,Деревенская ласточка
63839717,research,https://inaturalist-open-data.s3.amazonaws.com/photos/102527930/medium.jpeg,Hirundo rustica,Деревенская ласточка
65838078,research,https://inaturalist-open-data.s3.amazonaws.com/photos/106033947/medium.jpg,Hirundo rustica,Деревенская ласточка
67934344,research,https://inaturalist-open-data.s3.amazonaws.com/photos/109887184/medium.jpg,Hirundo rustica,Деревенская ласточка
71373576,research,https://inaturalist-open-data.s3.amazonaws.com/photos/116196620/medium.jpeg,Hirundo rustica,Деревенская ласточка
71373652,research,https://inaturalist-open-data.s3.amazonaws.com/photos/116196754/medium.jpeg,Hirundo rustica,Деревенская ласточка
78320552,research,https://inaturalist-open-data.s3.amazonaws.com/photos/128162174/medium.jpeg,Hirundo rustica,Деревенская ласточка
81225036,research,https://inaturalist-open-data.s3.amazonaws.com/photos/133205276/medium.jpeg,Hirundo rustica,Деревенская ласточка
82462716,research,https://static.inaturalist.org/photos/135343704/medium.jpeg,Hirundo rustica,Деревенская ласточка
83601192,research,https://inaturalist-open-data.s3.amazonaws.com/photos/137324499/medium.jpeg,Hirundo rustica,Деревенская ласточка
85801891,research,https://inaturalist-open-data.s3.amazonaws.com/photos/141232772/medium.jpg,Hirundo rustica,Деревенская ласточка
86371064,research,https://inaturalist-open-data.s3.amazonaws.com/photos/142277947/medium.jpeg,Hirundo rustica,Деревенская ласточка
90770844,research,https://inaturalist-open-data.s3.amazonaws.com/photos/150046407/medium.jpeg,Hirundo rustica,Деревенская ласточка
91501631,research,https://static.inaturalist.org/photos/151366241/medium.jpeg,Hirundo rustica,Деревенская ласточка
96714157,research,https://inaturalist-open-data.s3.amazonaws.com/photos/160712632/medium.jpg,Hirundo rustica,Деревенская ласточка
116457677,research,https://static.inaturalist.org/photos/196583453/medium.jpg,Hirundo rustica,Деревенская ласточка
116599327,research,https://static.inaturalist.org/photos/196834280/medium.jpeg,Hirundo rustica,Деревенская ласточка
116599656,research,https://static.inaturalist.org/photos/196834940/medium.jpeg,Hirundo rustica,Деревенская ласточка
116952529,research,https://inaturalist-open-data.s3.amazonaws.com/photos/197462718/medium.jpg,Hirundo rustica,Деревенская ласточка
117482768,research,https://inaturalist-open-data.s3.amazonaws.com/photos/198410042/medium.jpeg,Hirundo rustica,Деревенская ласточка
117482776,research,https://inaturalist-open-data.s3.amazonaws.com/photos/198410081/medium.jpeg,Hirundo rustica,Деревенская ласточка
117705769,research,https://inaturalist-open-data.s3.amazonaws.com/photos/198812368/medium.jpeg,Hirundo rustica,Деревенская ласточка
121494821,research,https://inaturalist-open-data.s3.amazonaws.com/photos/205592615/medium.jpeg,Hirundo rustica,Деревенская ласточка
123265033,research,https://inaturalist-open-data.s3.amazonaws.com/photos/208797596/medium.jpg,Hirundo rustica,Деревенская ласточка
125180613,research,https://inaturalist-open-data.s3.amazonaws.com/photos/212436625/medium.jpg,Hirundo rustica,Деревенская ласточка
131053039,research,https://inaturalist-open-data.s3.amazonaws.com/photos/222966090/medium.jpg,Hirundo rustica,Деревенская ласточка
132790693,research,https://inaturalist-open-data.s3.amazonaws.com/photos/226088440/medium.jpg,Hirundo rustica,Деревенская ласточка
135181777,research,https://inaturalist-open-data.s3.amazonaws.com/photos/230517841/medium.jpg,Hirundo rustica,Деревенская ласточка
142091805,research,https://inaturalist-open-data.s3.amazonaws.com/photos/243553413/medium.jpeg,Hirundo rustica,Деревенская ласточка
142093008,research,https://inaturalist-open-data.s3.amazonaws.com/photos/243556114/medium.jpeg,Hirundo rustica,Деревенская ласточка
155935266,research,https://static.inaturalist.org/photos/269591043/medium.jpg,Hirundo rustica,Деревенская ласточка
157219259,research,https://static.inaturalist.org/photos/271862500/medium.jpg,Hirundo rustica,Деревенская ласточка
157714264,research,https://static.inaturalist.org/photos/272647699/medium.jpg,Hirundo rustica,Деревенская ласточка
160779962,research,https://static.inaturalist.org/photos/277851147/medium.jpg,Hirundo rustica,Деревенская ласточка
160877715,research,https://inaturalist-open-data.s3.amazonaws.com/photos/278037310/medium.jpg,Hirundo rustica,Деревенская ласточка
162618249,research,https://inaturalist-open-data.s3.amazonaws.com/photos/281199152/medium.jpg,Hirundo rustica,Деревенская ласточка
162638678,research,https://inaturalist-open-data.s3.amazonaws.com/photos/281232185/medium.jpeg,Hirundo rustica,Деревенская ласточка
165788360,research,https://inaturalist-open-data.s3.amazonaws.com/photos/287016695/medium.jpeg,Hirundo rustica,Деревенская ласточка
166307221,research,https://inaturalist-open-data.s3.amazonaws.com/photos/287979377/medium.jpg,Hirundo rustica,Деревенская ласточка
166309361,research,https://inaturalist-open-data.s3.amazonaws.com/photos/287983521/medium.jpg,Hirundo rustica,Деревенская ласточка
166314304,research,https://inaturalist-open-data.s3.amazonaws.com/photos/287992776/medium.jpg,Hirundo rustica,Деревенская ласточка
166751561,research,https://inaturalist-open-data.s3.amazonaws.com/photos/288794266/medium.jpeg,Hirundo rustica,Деревенская ласточка
167386680,research,https://inaturalist-open-data.s3.amazonaws.com/photos/289960240/medium.jpg,Hirundo rustica,Деревенская ласточка
168563462,research,https://inaturalist-open-data.s3.amazonaws.com/photos/292144244/medium.jpg,Hirundo rustica,Деревенская ласточка
168626766,research,https://inaturalist-open-data.s3.amazonaws.com/photos/292267154/medium.jpg,Hirundo rustica,Деревенская ласточка
168697798,research,https://static.inaturalist.org/photos/292395192/medium.jpg,Hirundo rustica,Деревенская ласточка
169406063,research,https://inaturalist-open-data.s3.amazonaws.com/photos/293693161/medium.jpeg,Hirundo rustica,Деревенская ласточка
170137462,research,https://static.inaturalist.org/photos/295046836/medium.jpg,Hirundo rustica,Деревенская ласточка
170507805,research,https://static.inaturalist.org/photos/295741144/medium.jpg,Hirundo rustica,Деревенская ласточка
170634335,research,https://inaturalist-open-data.s3.amazonaws.com/photos/295982938/medium.jpg,Hirundo rustica,Деревенская ласточка
173166390,research,https://inaturalist-open-data.s3.amazonaws.com/photos/300696379/medium.jpeg,Hirundo rustica,Деревенская ласточка
174469097,research,https://inaturalist-open-data.s3.amazonaws.com/photos/303104685/medium.jpeg,Hirundo rustica,Деревенская ласточка
175326319,research,https://inaturalist-open-data.s3.amazonaws.com/photos/304571759/medium.jpeg,Hirundo rustica,Деревенская ласточка
181430023,research,https://inaturalist-open-data.s3.amazonaws.com/photos/316154543/medium.jpeg,Hirundo rustica,Деревенская ласточка
183631580,research,https://inaturalist-open-data.s3.amazonaws.com/photos/320401188/medium.jpg,Hirundo rustica,Деревенская ласточка
183888023,research,https://inaturalist-open-data.s3.amazonaws.com/photos/320886399/medium.jpg,Hirundo rustica,Деревенская ласточка
184138504,research,https://static.inaturalist.org/photos/321376739/medium.jpg,Hirundo rustica,Деревенская ласточка
185606682,research,https://inaturalist-open-data.s3.amazonaws.com/photos/324182233/medium.jpg,Hirundo rustica,Деревенская ласточка
187544216,research,https://inaturalist-open-data.s3.amazonaws.com/photos/327996135/medium.jpeg,Hirundo rustica,Деревенская ласточка
192371511,research,https://inaturalist-open-data.s3.amazonaws.com/photos/337684085/medium.jpeg,Hirundo rustica,Деревенская ласточка
196537758,research,https://static.inaturalist.org/photos/346007151/medium.jpeg,Hirundo rustica,Деревенская ласточка
